"geneID","2_S1","2M_S7","6_S2","6M_S8","8_S3","8M_S9","10_S4","10M_S10","12_S5","12M_S11","13_S6","13M_S12"
"61","EBG00001172670",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"62","EBG00001172674",7.25491,0,0,8.43574,0,5.17337,0,2.76421,12.6697,0,6.97781,0
"63","EBG00001172675",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"64","EBG00001172677",0,0,0,0,0,0,3.69823,0,0,0,0,0
"65","EBG00001172678",36586.5,36084.3,36507,42166,45530.2,42266.4,48181.1,49740.6,54460.7,40423.7,48125.9,40730.5
"66","EBG00001172680",0,0,3.10944,0,1.52148,0,0,0,0,0,0,0
"67","EBG00001172684",10.2834,1.72752,6.10475,6.32,88.2785,74.6864,29.846,5.39496,595.565,4.79202,17.1113,34.2163
"68","EBG00001172685",0.197418,0.192142,0.924856,0,0.451127,0,0,0,0,0,0.392814,0.435242
"69","EBG00001172686",14.3392,1.86894,8.74497,7.38478,89.2957,76.4316,30.4359,5.757,598.715,5.80623,18.0024,35.5018
"70","EBG00001172692",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"71","EBG00001172693",6.07031,2.84863,11.8692,13.0707,123.72,65.0226,80.6825,20.5191,1106.23,23.5977,147.645,82.9224
"72","EBG00001172694",6.07031,2.84863,11.8692,13.0707,123.72,65.0226,80.6825,20.5191,1106.23,23.5977,147.645,82.9224
"73","EBG00001172697",36586.5,36084.3,36507,42166,45530.2,42266.4,48181.1,49740.6,54460.7,40423.7,48125.9,40730.5
"74","EBG00001172700",28346.1,25433.3,16052.9,19615.9,14152.1,15145.9,14753.5,14074.5,14416,16602.9,23245.4,15477.4
"75","EBG00001172701",16516.7,19639.4,16315.9,17331.2,14345.5,22153.7,13141.2,17350.3,11005.2,21532.5,8345.46,17796.1
"76","EBG00001172702",9.67321,20.735,5.81206,2.81191,8.85801,8.62228,4.41128,12.8997,10.5581,9.76721,13.9556,10.0161
"77","EBG00001172703",16516.7,19639.4,16315.9,17331.2,14345.5,22153.7,13141.2,17350.3,11005.2,21532.5,8345.46,17796.1
"78","EBG00001172704",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"79","EBG00001172707",0,0,0,0,0,0,0,0,0,0,2.459,0
"80","EBG00001172710",743.628,1328.26,889.245,936.367,682.067,563.897,357.314,409.104,361.086,301.388,551.247,473.261
"81","EBG00001172712",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"82","EBG00001172716",16516.7,19639.4,16315.9,17331.2,14345.5,22153.7,13141.2,17350.3,11005.2,21532.5,8345.46,17796.1
"83","EBG00001172727",9.67321,20.735,5.81206,2.81191,8.85801,8.62228,4.41128,12.8997,10.5581,9.76721,13.9556,10.0161
"84","EBG00001172728",47708.5,47914,15484.5,22154.5,15118.9,25457.9,20985.2,14797.4,12830.8,23168.3,26700.6,19957.7
"85","EBG00001172732",3386.4,4957.31,4730.29,4877.38,4240.78,4084.94,3350.27,5528.17,3910.7,6726.41,4746.85,3256.16
"86","EBG00001172735",31428.4,32852.9,46083,47373.3,52419.2,47209.2,45500.8,40875.8,51304.8,35413.5,67325.7,52033.3
"87","EBG00001172742",9.06178,3.64005,8.80299,4.368,0,10.3719,3.38909,5.77122,0,2.15399,0,3.80437
"88","EBG00001172744",6.07031,2.84863,11.8692,13.0707,123.72,65.0226,80.6825,20.5191,1106.23,23.5977,147.645,82.9224
"89","EBG00001172746",9.06178,3.64005,8.80299,4.368,0,10.3719,3.38909,5.77122,0,2.15399,0,3.80437
"90","EBG00001172747",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"91","EBG00001172751",14.3392,1.86894,8.74497,7.38478,89.2957,76.4316,30.4359,5.757,598.715,5.80623,18.0024,35.5018
"92","EBG00001172755",0,0,0,5.21463,0,0,0,0,0,0,0,0
"93","EBG00001172756",9409.61,8855.05,18822.4,16770.2,15758.4,14578.6,17951.7,15792,15165.6,12997.4,13816.1,13664.5
"94","EBG00001172760",6.07031,2.84863,11.8692,13.0707,123.72,65.0226,80.6825,20.5191,1106.23,23.5977,147.645,82.9224
"95","EBG00001172761",9.67321,20.735,5.81206,2.81191,8.85801,8.62228,4.41128,12.8997,10.5581,9.76721,13.9556,10.0161
"96","EBG00001172762",6.07031,2.84863,11.8692,13.0707,123.72,65.0226,80.6825,20.5191,1106.23,23.5977,147.645,82.9224
"97","EBG00001172764",1.61321,1.34687,3.24312,12.7766,6.33048,4.88338,10.8052,7.26887,7.08654,10.8957,13.7463,9.69014
"98","EBG00001172767",21.9355,24.5306,19.7585,55.3144,32.3639,7.24297,10.3663,24.4877,25.4899,26.3494,5.37666,35.2639
"99","PFLU_0001",0,0.0403335,0,0,0,0,0,0,0,0,0,0
"100","PFLU_0003",28.7441,31.2056,58.0879,34.091,42.1538,25.0776,39.7363,22.2221,25.8097,14.6121,24.5772,33.1913
"101","PFLU_0011",67.6468,71.7501,357.809,221.004,341.292,174.573,230.389,180.281,150.229,69.8925,174.249,219.507
"102","PFLU_0018",0.143756,0,0,0,0,0,0,0,0,0,0,0
"103","PFLU_0023",0,0,0,0.176479,0,0,0,0,0,0.0851036,0,0
"104","PFLU_0027",1.39315,1.00191,3.66448,3.42231,3.18341,2.28217,3.99528,3.06179,2.9179,1.75236,6.39892,1.88376
"105","PFLU_0036",0,0,0,0.130293,0,0.0698418,0.102334,0,0,0,0,0
"106","PFLU_0048",3.95787,1.87854,5.98041,4.33713,7.28957,2.09004,4.64982,3.21351,5.57315,2.34765,8.99927,5.10629
"107","PFLU_0059",19.2972,13.3462,76.5231,52.0992,83.3802,38.83,78.8355,50.916,88.9172,35.8736,149.077,65.9668
"108","PFLU_0070",5.31073,3.12645,14.7462,9.71065,13.7418,10.3078,13.4577,11.9984,17.1042,8.6651,26.7802,14.5791
"109","PFLU_0071",0,0,0,0,0.0648123,0,0,0,0,0,0,0
"110","PFLU_0088",10.3736,7.18723,12.2594,11.301,11.267,7.13485,14.1529,8.57282,15.9335,7.32973,17.8181,9.88011
"111","PFLU_0093",17.5164,14.642,23.4886,20.7332,34.3219,14.9542,33.7058,19.7784,40.5013,17.3687,63.8366,41.3448
"112","PFLU_0111",4.55435,2.63002,6.22647,5.04955,6.34316,3.71079,5.34972,4.21316,7.17877,3.28545,9.76153,3.98848
"113","PFLU_0113",0.0568114,0,0,0,0,0,0,0,0,0,0,0
"114","PFLU_0180",4.62028,2.99831,21.6442,13.8787,18.6482,8.91312,12.1979,9.89422,13.9608,5.7502,19.6111,8.69744
"115","PFLU_0189",1.27898,2.13128,14.8562,6.27798,12.7192,4.77886,9.9878,5.92847,9.40104,3.1185,15.6448,6.43077
"116","PFLU_0210",0,0,0,0,0,0,0.185735,0,0.180507,0,0,0
"117","PFLU_0290",0,0,0.176173,0,0,0,0,0,0.14407,0,0,0.164248
"118","PFLU_0324",0,0.0268441,0,0,0,0,0,0,0,0,0,0
"119","PFLU_0341",0.329306,0,0,0,0.375985,0.658752,0,0,0,0,0,0
"120","PFLU_0350",0.101003,0.032938,0.0792554,0.0852282,0.0769351,0.137359,0,0.0559171,0,0,0,0.221063
"121","PFLU_0361",3.02521,2.67059,4.94978,2.14785,5.56404,1.85548,5.87605,3.40038,6.32037,1.71348,9.20832,3.31096
"122","PFLU_0374",0.0234275,0,0,0,0.053538,0,0,0.0194603,0,0,0,0
"123","PFLU_0387",0,0.0376749,0,0,0,0,0,0,0,0,0,0
"124","PFLU_0398",0,0,0.110257,0.118577,0,0,0,0,0,0,0,0
"125","PFLU_0405",0,0,0,0,0,0,0.0986639,0.0412008,0,0,0.100552,0
"126","PFLU_0414",7.10656,6.18898,33.6065,17.0222,57.8784,15.1587,20.8338,8.49228,7.61432,2.65544,9.48172,8.38295
"127","PFLU_0415",19.0825,20.64,76.3606,49.74,131.113,47.4042,50.0279,22.7412,16.754,6.71437,19.4324,18.9646
"128","PFLU_0444",3.10344,2.41153,8.50408,5.70249,7.77144,3.69527,7.44307,5.82372,10.0636,4.6747,11.8962,6.04983
"129","PFLU_0451",0.930579,0.675927,2.05057,1.55859,3.84181,1.45334,3.38596,2.35694,6.07173,2.572,11.8827,6.79584
"130","PFLU_0452",0,0,0,0,0,0,0,0,0,0,0.0848996,0
"131","PFLU_0460",0.454719,0.267025,0.856658,1.09386,1.66265,0.402622,1.26968,0.925426,1.35735,0.584106,1.57162,1.19384
"132","PFLU_0462",0,0.0607174,0,0,0,0,0,0,0,0,0,0
"133","PFLU_0492",16.3692,12.1214,37.478,30.2265,37.8461,18.5555,36.5734,26.9747,38.8058,17.6587,53.7676,28.0979
"134","PFLU_0501",3.47706,3.11466,10.3283,6.29799,9.22941,5.27976,6.77137,6.37581,6.59232,4.05634,6.19576,5.85261
"135","PFLU_0518",0.03215,0.031455,0,0,0,0,0,0,0,0.0393069,0,0
"136","PFLU_0520",0,0,0,0,0,0,0,0.592953,0.683678,0,0,0
"137","PFLU_0521",0.0482672,0.0471961,0.113568,0,0.220577,0.261988,0.0959599,0,0.0928743,0.0589492,0.293392,0.105693
"138","PFLU_0523",0,0.0737798,0,0,0,0,0,0,0,0,0,0
"139","PFLU_0525",0,0,0,0.123374,0,0.0661555,0,0,0,0,0,0
