"geneID","1-Rep1_S1","1-Rep2_S25","1-Rep3_S13","1M-Rep1_S13","1M-Rep2_S1","1M-Rep3_S25","2-Rep1_S2","2-Rep2_S26","2-Rep3_S14","2M-Rep1_S14","2M-Rep2_S2","2M-Rep3_S26","3-Rep1_S3","3-Rep2_S27","3-Rep3_S15","3M-Rep1_S15","3M-Rep2_S3","3M-Rep3_S27","4-Rep1_S4","4-Rep2_S28","4-Rep3_S16","4M-Rep1_S16","4M-Rep2_S4","4M-Rep3_S28","5-Rep1_S5","5-Rep2_S29","5-Rep3_S17","5M-Rep1_S17","5M-Rep2_S5","5M-Rep3_S29","6-Rep1_S6","6-Rep2_S30","6-Rep3_S18","6M-Rep1_S18","6M-Rep2_S6","6M-Rep3_S30","7-Rep1_S7","7-Rep2_S31","7-Rep3_S19","7M-Rep1_S19","7M-Rep2_S7","7M-Rep3_S31","8-Rep1_S8","8-Rep2_S32","8-Rep3_S20","8M-Rep1_S20","8M-Rep2_S8","8M-Rep3_S32","9-Rep1_S9","9-Rep2_S33","9-Rep3_S21","9M-Rep1_S21","9M-Rep2_S9","9M-Rep3_S33","10-Rep1_S10","10-Rep2_S34","10-Rep3_S22","10M-Rep1_S22","10M-Rep2_S10","10M-Rep3_S34","11-Rep1_S11","11-Rep2_S35","11-Rep3_S23","11M-Rep1_S23","11M-Rep2_S11","11M-Rep3_S35","12-Rep1_S12","12-Rep2_S36","12-Rep3_S24","12M-Rep1_S24","12M-Rep2_S12","12M-Rep3_S36"
"21","EBG00000011047",819.006,1068.37,1091.33,784.875,1243.28,1230.07,905.994,1282.94,1167.21,761.108,1221.53,1105.68,828.516,1335.75,1095.08,952.863,1046.63,850.118,888.591,1176.92,1117.97,829.327,1477.39,1188.17,640.398,1400.64,1122.25,846.428,1027.98,877.224,687.524,1259.47,1140.07,609.537,987.373,695.799,542.811,1522.63,979.286,688.895,1189.38,429.405,455.406,1305.22,709.411,461.114,1189.13,529.578,518.601,1056.9,831.001,427.607,1042.18,444.079,413.925,874.584,769.441,549.115,1072.53,587.614,515.048,876.15,609.779,453.932,1163.02,469.959,308.662,934.49,354.472,155.979,1163.33,347.132
"22","EBG00000011048",1009.06,20.4363,4719.51,11418.9,24.1748,6727.5,7744.79,40.9897,46.969,12000.9,39.8696,5742.1,10922,37.323,21.1804,18662.6,29.4535,382.812,6594.11,154.894,61.2095,18106.7,21.1291,432.223,16849.7,109.91,56.523,653.294,4160.09,6.0959,1712.69,258.656,219.118,646.378,412.548,1406.83,14918.5,271.456,40.9107,1076.74,597.011,8073.37,14374.4,76.1069,57.5526,884.751,2153.08,2410.82,10732.2,228.47,2496.23,1579.2,1820.38,10919,15324.4,198.978,510.636,1503.61,2086.04,2369.68,17044.9,75.2734,6410.39,975.209,625.148,241.657,16594.3,83.3006,17763.3,3009.16,2401.18,2111.63
"23","EBG00000011049",2356.76,2242.75,2228.96,2843.39,2569.9,3105.65,2607.6,2856.92,2676.88,2711.22,2946.81,3370.89,2185.16,2664.1,2874.59,2556.09,2334.76,2857.79,2452.1,3152.95,3268.51,2779.54,2827.01,3309.59,2213.62,3242.4,3129.45,1854.71,2005.34,2259.62,1753.75,3292.65,3119.36,1697.66,2542.22,2360.28,1827.47,3529.97,3128.89,2058.75,3100.41,2293.52,2175.37,3488.55,1939.45,1880.41,3309.97,1838.14,1368.23,2549.63,2738.3,1793.38,2816.05,2280.59,1666.5,2033.37,2595.47,2548.62,3385.67,2546.41,1709.59,2180.75,2608.06,1974.35,3477.26,1567.27,1734.81,2347.48,2904.97,1217.13,3139.31,1804.41
"24","EBG00000011050",2356.76,2242.75,2228.96,2843.39,2569.9,3105.65,2607.6,2856.92,2676.88,2711.22,2946.81,3370.89,2185.16,2664.1,2874.59,2556.09,2334.76,2857.79,2452.1,3152.95,3268.51,2779.54,2827.01,3309.59,2213.62,3242.4,3129.45,1854.71,2005.34,2259.62,1753.75,3292.65,3119.36,1697.66,2542.22,2360.28,1827.47,3529.97,3128.89,2058.75,3100.41,2293.52,2175.37,3488.55,1939.45,1880.41,3309.97,1838.14,1368.23,2549.63,2738.3,1793.38,2816.05,2280.59,1666.5,2033.37,2595.47,2548.62,3385.67,2546.41,1709.59,2180.75,2608.06,1974.35,3477.26,1567.27,1734.81,2347.48,2904.97,1217.13,3139.31,1804.41
"25","EBG00000011052",1.03271,0.371978,5.10327,7.53122,0.458159,2.51246,3.26803,2.26087e-09,0.735759,7.73278,0.73589,4.91182,8.14767,0.349178,2.92055,12.054,5.18351e-09,8.79817,6.6197,0.94015,0.000134172,11.9048,0.285762,2.98701,6.57613,1.08916,0.677648,0.250309,4.67868,7.70974,1.09116e-05,1.6854,8.87269,0.622851,1.12485,1.32272,9.00171,2.74701,6.02167e-05,0.468102,1.97562,9.48815,5.19474,0.445773,1.35161,1.20762,5.05511,1.27813,3.96568,1.08112,0.000255401,1.98972,3.11509,6.65241,6.48239,2.07461,4.90664,1.63937,4.43701,1.90643,8.97164,0.570493,6.68519,1.27001,1.87432,0.000168957,4.92258,0.515632,16.3164,1.33994,4.07336,3.79763
"26","EBG00000011054",631.162,700.479,622.652,529.569,577.229,548.052,509.506,669.236,638.753,446.28,636.402,539.346,382.317,538.764,551.221,388.988,617.97,491.04,433.336,536.994,536.968,450.726,550.579,577.424,400.32,626.346,593.271,449.326,594.267,496.779,481.976,597.853,566.137,322.111,618.615,490.712,309.866,559.178,589.818,430.057,585.321,380.083,326.661,573.517,457.796,419.873,604.752,372.053,388.45,534.301,410.43,379.861,683.792,390.708,407.082,505.79,522.005,497.713,545.202,396.885,253.98,440.888,468.465,382.729,605.954,422.139,327.318,505.762,289.692,447.027,639.35,384.393
"27","EBG00000011055",1294.84,1072.18,1022.51,1190.12,1204.42,1167.62,1090.63,1270.27,1505.79,864.266,1160.1,1139.14,735.255,1213.36,1572.07,762.86,1080.49,1445.66,978.316,1236.73,1717.2,901.71,1360.73,1659.97,689.909,1313.48,1605.01,996.446,1066.91,1254.8,860.899,1258.48,1462.46,842.699,1016.87,1170.3,573.741,1216.38,1609.13,849.999,1115.27,879.781,666.681,1344.24,912.681,845.604,1125.99,1071.45,663.439,944.199,1190.42,748.646,1002.9,970.115,551.654,763.274,1396.89,917.987,1071.64,1314.85,565.177,771.238,1047.25,783.799,1151.85,1079.59,571.977,887.996,783.383,539.759,1115.41,758.164
"28","EBG00000011056",524.584,629.408,806.206,239.47,635.351,341.936,346.273,666.46,858.362,235.056,610.976,284.629,299.586,655.037,788.319,185.299,578.024,527.303,323.334,474.61,743.447,249.733,690.63,564.667,190.608,682.102,669.299,541.921,659.644,495.314,414.976,445.472,484.098,456.857,411.405,415.91,182.375,572.365,592.672,299.295,549.446,185.992,119.172,490.902,455.165,295.551,393.274,312.073,248.867,451.008,470.414,222.787,372.804,195.219,130.907,352.249,508.155,255.538,367.344,341.52,123.738,339.661,275.986,185.996,436.379,440.523,122.472,352.846,79.7562,141.469,533.26,221.011
"29","EBG00000011057",628.595,488.164,635.789,458.088,563.74,562.694,598.269,576.859,664.238,479.007,591.646,588.026,467.151,594.195,632.94,460.871,533.014,390.595,581.231,597.149,675.748,446.047,759.071,700.979,381.992,646.15,667.992,578.622,605.491,521.442,468.313,666.557,668.516,408.725,501.523,395.856,345.033,715.097,558.98,371.539,584.257,192.234,242.883,692.182,359.709,248.117,566.769,249.028,302.968,564.31,397.844,236.818,574.971,212.22,205.272,464.969,386.823,317.96,558.638,276.229,251.707,439.488,283.445,248.666,618.27,241.577,260.391,510.279,137.85,324.049,606.453,158.551
"30","EBG00000011058",2356.76,2242.75,2228.96,2843.39,2569.9,3105.65,2607.6,2856.92,2676.88,2711.22,2946.81,3370.89,2185.16,2664.1,2874.59,2556.09,2334.76,2857.79,2452.1,3152.95,3268.51,2779.54,2827.01,3309.59,2213.62,3242.4,3129.45,1854.71,2005.34,2259.62,1753.75,3292.65,3119.36,1697.66,2542.22,2360.28,1827.47,3529.97,3128.89,2058.75,3100.41,2293.52,2175.37,3488.55,1939.45,1880.41,3309.97,1838.14,1368.23,2549.63,2738.3,1793.38,2816.05,2280.59,1666.5,2033.37,2595.47,2548.62,3385.67,2546.41,1709.59,2180.75,2608.06,1974.35,3477.26,1567.27,1734.81,2347.48,2904.97,1217.13,3139.31,1804.41
